Organisme,Nature de l'organisme,Nom de famille,Prénom,Fonction,Intérêts représentés,Sexe
CENTRE NATIONAL INTERPROFESSIONNEL DE L'ÉCONOMIE LAITIÈRE,Organisation professionnelle,VERNHES,Marie-Pierre,"Chargée des relations extérieures, rattachée à la direction générale","Le CNIEL représente les intérêts de l'ensemble des acteurs de la filière laitière : producteurs de lait, industries laitières coopratives et industries laitières de droit privé",F
CFDT CONFÉDÉRATION,Organisation professionnelle,QUINTIN,Anne-Florence,Service économie et société Confédération CFDT,Confédération CFDT,F
CIWF FRANCE,Bureau français affilié à l'ONG Compassion in World Farming,GIGNOUX,Agathe,Chargée d'affaires publiques,CIWF France,F
CLAI,Société de conseil,MAS,Céline,Directeur conseil,"Air Liquide SA, AstraZeneca, Fondation Transplantation, Germitec, Ingredia, Pimkie, Rio Tinto, Socoma",F
CNAFAL,Association,JAHIER,Claude,Secrétaire générale,"Le CNAFAL a pour but l'étude et la défense des droits et des intérêts moraux et matériels des familles et de chacun de leurs membres, quelles que soient les formes et les réalités sociales de ces groupes d'humains. Organisation agréée par l'UNAF en 1978. Le CNAFAL est agréé organisation nationale de consommateurs depuis plus de 30 ans. Il siège au Conseil national de la consommation et à l'Institut national de la consommation",F
CNCC,Organisation professionnelle,HUREL,François,Délégué général rattaché à la Présidence,Compagnie Nationale des Commissaires aux comptes en charge de la représentation des intérêts de la profession,H
CNES,Organisme public,TREFOURET,Pierre,"Directeur de la communication externe, de l'éducation et des affaires publiques",Centre national d'études spatiales (CNES),H
COM'PUBLICS,Société de conseil,TEYSSIER D'ORFEUIL,Marc,Directeur général,"INAPORC (club des amis du cochon), CIFOG (club vive le foie gras), AVE (associations des voitures écologiques), club de la table française, club des PPP, club de l'emballage léger en aluminium, Nespresso, club France Terre de Tourisme, club de l'accession à la propriété",H
COMITÉ FRANÇAIS DE L'UNICEF,Association,DUC,Amendine,Direction générale. Responsable des relations avec le Parlement et les pouvoirs publics,UNICEF - UNICEF FRANCE,F
COMITÉ RICHELIEU,Association,DELALANDRE,Jean,Directeur de mission (présidence),"Association française des PME innovantes, 300 adhérents, un réseau de 4000 PME et ETT, notamment IXSEA, ELNO, NEXEYA, AXO, EOLANE",H
COMMISSION DE RÉGULATION DE L'ÉNERGIE,Autorité administrative,DE SAINT-MARTIN,France,Chargée de mission pour les relations institutionnelles à la direction des relatins institutionnelles et de la communication,Commission de régulation de l'énergie,F
