Organisme,Nature de l'organisme,Nom de famille,Prénom,Fonction,"Intérêts représentés","Date d'échéance du titre d'accès"
JTGD Conseil,Société de conseil,GUILLERÉ-DELANGRE,Jean-Thierry,Directeur,"la SAS Le Cochon de Bretagne - l'AFAB - FEEDSIM AVENIR - ADCCPA - Sarl Château Jeanbrun",31/12/2013
Kéolis,Entreprise privée,LIEURE,Anne,Directeur des relations institutionnelles,,31/12/2013
Lafarge France,Entreprise privée,GUILLEN,Alain,Directeur des Affaires publiques France,,31/12/2013
Le Défenseur des Droits,Autorité administrative,GREZAUD,Antoine,Directeur de Cabinet,,31/12/2013
Lobbsonn,Société de conseil,BOUTEILLER,Samuel,Directeur associé,"Chambre nationale des Huissiers de Justice, Caisse nationale d'Assurance vieillesse des professions libérales, Casino développement",31/12/2013
Lobbying et Stratégies,Société de conseil,COSTE,Thierry,Directeur,"Fédération Nationale des Chasseurs (FNC), Syndicat National des Vétérinaires d'Exercice Libéral (SNVEL), Comité Guillaume Tell regroupant les organisation suivantes : FNC, Fédération Française de Tir, ANTAC, Chambre syndicale des Armuriers, Chambre Syndicale des Distributeurs d'Armes de Loisir et de Sport, Fédération Ball-Trap, Comité Noé regroupant les utilisateurs d'animaux, syndicats agricoles, association de chasse, de pêche, du cirque, société centrale canine, Groupe Pizzorno Environnement, Humbert ctts",31/12/2013
MBDA Missile Systems,Entreprise privée,CHOLLET,Patricia,Chargée des relations avec le Parlement,MBDA France,31/12/2013
MEDEF,Association,RESSOT,Guillaume,Directeur des Affaires publiques,,31/12/2013
Musiques Francophones Plurielles,Association,BLACHE,Jacques,Président,,31/12/2013
Mutualité Française,Organisation professionnelle,FIGUREAU,Vincent,Responsable du département des relations institutionnelles nationales,Fédération Nationale de la Mutualité Française (FNMF),31/12/2013
Ordre des Avocats de Paris,Organisme public,CUSINBERCHE,Régis,Délégué du Bâtonnier aux Relations institutionnelles,,31/12/2013
Phasme Consulting,Société de conseil,PASTEAU,Stéphane,Gérant Directeur,"Moët Hennessy - Bionov - Activ' Inside - Alsacienne de Pâtes Ménagères - Siniat - Onidol - Glon Sanders",31/12/2013
Philips France,Entreprise privée,CEVASCO,Christophe,Directeur des Affaires publiques et du Développement,,31/12/2013
Publicis Consultants,Société de conseil,MARTIN,Benjamin,Directeur conseil adjoint,"Value Retail - Huawei Technologie - Ikea",31/12/2013
Réseau Environnement Santé,Association,VICAIRE,Yannick,Chargé de mission,,31/12/2013
Réseau Ferré de France,Organisme public,du BOURG,Marie-Reine,Responsable Affaires publiques et relations parlementaires,,31/12/2013
Rumeur Publique,Entreprise privée,FLEX,Fabiola,Directrice du pôle Affaires publiques,,31/12/2013
Sanofi,Entreprise privée,MOREAU,Jean-Yves,Directeur des relations gouvernementales et parlementaires,,31/12/2013
Sarl Groupe Prosecure,Entreprise privée,ANDRE,Stanislas,Directeur général,"Groupe Prosecure - Syndicat SYNAMOME - Inpis - Collectif ""Acteur du Bâtiment Durable"" - Association Entrepreneurielles",31/12/2013
Saur,Entreprise privée,PARIS,Didier,Directeur en charge des Affaires publiques,Groupe Saur,31/12/2013
Séance Publique,Société de conseil,de DURFORT,Guillemette,Directrice conseil," La Poste, PSA, Agents généraux d'assurance, Confédérations Générales des Planteurs de Betteraves, Conseil national de l'ordre des Architectes, FEDENE, Syndicat national des Etablissements et Résidences Privées pour les Personnes âgées, Union nationale des professionnels de l'Immobilier, Syntec Ingénierie, Centre d'Etudes et de Documentation du Sucre, ANDRA, CEA, IRSN, IGN, Janssen, GIE Cartes bancaires CB, CNAVPL, UNEDIC, Vermilion",31/12/2013
Servier Monde,Entreprise privée,MOIZAN,Corinne,Directeur des Affaires Institutionnelles,,31/12/2013
Société de Banque et d'Expansion,Entreprise privée,GENTILI,Cathy,Directrice des Relations institutionnelles,,31/12/2013
Société Nationale des Chemins de Fer (S.N.C.F.),Etablissement public,GROSSETÊTE,Karine,Conseillère parlementaire,,31/12/2013
Syndicat National de l'Achat d'Or et des Bijoux (SNAOB),Organisation professionnelle,de BOUTSELIS,Jean-Pierre,Président,,31/12/2013
Syndicat National des Vétérinaires d'Exercice Libéral (SNVEL),Organisation professionnelle,DAUMAS,Anne,Directrice générale,,31/12/2013
Thalès,Entreprise privée,CAPUTO,Isabelle,Directeur des relations parlementaires et politiques,,31/12/2013
Total S.A.,Entreprise privée,TRIBOT LASPIERRE,François,Adjoint au Directeur Affaires publiques France & ONG,,31/12/2013
Unicem,Organisation professionnelle,TARNOT,Maud,Chargée des Relations institutionnelles,,31/12/2013
Union des Industries et Métiers de la Métallurgie (UIMM),Organisation professionnelle,NOQUÉ,Alain,Directeur des relations extérieures,,31/12/2013
Union Française des Industries Pétrolières (UFIP),Organisation professionnelle,AGEORGES,Bruno,Directeur des Relations institutionnelles et des Affaires juridiques,,31/12/2013
Union Nationale Interfédérale des Œuvres et Organismes Privés Sanitaires et Sociaux (UNIOPSS),Association,MAIRE,Ronald,"Conseiller technique, Organisation territoire, Politiques sanitaires et sociales",,31/12/2013
Véolia Environnement,Entreprise privée,SUART-FIORAVANTE,Marie-Thérèse,Directeur des Relations institutionnelles,"Véolia Eau - Véolia Propreté - Dalkia/Véolia Energie",31/12/2013
